MarcaTiempo,TiempoRespuesta,TipoSolicitud,CodigoHTTP,MensajeRespuesta,CasoPrueba,TipoContenido,Exito,Bytes,Hilos,Muestras,Latencia
1733108984210,2017,HTTP Request,200,OK,Caso4 1-271,text,true,549,188,188,2017
1733108983861,2377,HTTP Request,200,OK,Caso4 1-246,text,true,549,187,187,2376
1733108984862,1377,HTTP Request,200,OK,Caso4 1-322,text,true,507,186,186,1377
1733108984375,1971,HTTP Request,200,OK,Caso4 1-284,text,true,507,185,185,1971
1733108983239,3242,HTTP Request,200,OK,Caso4 1-199,text,true,535,184,184,3241
1733108983252,3230,HTTP Request,200,OK,Caso4 1-200,text,true,521,183,183,3230
1733108983539,2945,HTTP Request,200,OK,Caso4 1-221,text,true,507,182,182,2945
1733108983603,2886,HTTP Request,200,OK,Caso4 1-226,text,true,521,181,181,2886
1733108983616,2875,HTTP Request,200,OK,Caso4 1-227,text,true,521,180,180,2875
1733108983383,3116,HTTP Request,200,OK,Caso4 1-209,text,true,521,179,179,3116
1733108983577,2924,HTTP Request,200,OK,Caso4 1-224,text,true,521,178,178,2923
1733108982980,3521,HTTP Request,200,OK,Caso4 1-179,text,true,549,177,177,3521
1733108983914,2594,HTTP Request,200,OK,Caso4 1-250,text,true,535,176,176,2594
1733108983770,2740,HTTP Request,200,OK,Caso4 1-239,text,true,521,175,175,2740
1733108983551,2967,HTTP Request,200,OK,Caso4 1-222,text,true,507,174,174,2967
1733108983463,3056,HTTP Request,200,OK,Caso4 1-215,text,true,507,173,173,3056
1733108984222,2393,HTTP Request,200,OK,Caso4 1-272,text,true,507,172,172,2393
1733108983422,3196,HTTP Request,200,OK,Caso4 1-212,text,true,521,171,171,3196
1733108983043,3575,HTTP Request,200,OK,Caso4 1-184,text,true,535,170,170,3575
1733108983359,3259,HTTP Request,200,OK,Caso4 1-207,text,true,521,170,170,3259
1733108984196,2423,HTTP Request,200,OK,Caso4 1-270,text,true,507,169,169,2423
1733108983488,3131,HTTP Request,200,OK,Caso4 1-217,text,true,521,169,169,3131
1733108983271,3349,HTTP Request,200,OK,Caso4 1-201,text,true,535,167,167,3349
1733108983118,3543,HTTP Request,200,OK,Caso4 1-190,text,true,507,165,165,3543
1733108984643,2049,HTTP Request,200,OK,Caso4 1-305,text,true,521,164,164,2049
1733108984007,2744,HTTP Request,200,OK,Caso4 1-256,text,true,507,163,163,2744
1733108985410,1349,HTTP Request,200,OK,Caso4 1-365,text,true,521,162,162,1349
1733108984170,2598,HTTP Request,200,OK,Caso4 1-268,text,true,507,161,161,2598
1733108984990,1803,HTTP Request,200,OK,Caso4 1-332,text,true,507,160,160,1803
1733108984144,2650,HTTP Request,200,OK,Caso4 1-266,text,true,507,159,159,2650
1733108983756,3043,HTTP Request,200,OK,Caso4 1-238,text,true,535,158,158,3043
1733108985499,1333,HTTP Request,200,OK,Caso4 1-372,text,true,507,157,157,1333
1733108984452,2402,HTTP Request,200,OK,Caso4 1-290,text,true,507,156,156,2402
1733108984465,2392,HTTP Request,200,OK,Caso4 1-291,text,true,521,155,155,2392
